Date,Time,Demand
2019-04-08,17:45-18:00,35.904
2019-04-08,18:00-18:15,33.026
2019-04-08,18:15-18:30,30.655
2019-04-08,18:30-18:45,28.184
2019-04-08,18:45-19:00,26.513
2019-04-08,19:00-19:15,24.975
2019-04-08,19:15-19:30,23.403
2019-04-08,19:30-19:45,22.736
2019-04-08,19:45-20:00,22.202
2019-04-08,20:00-20:15,21.462
2019-04-08,20:15-20:30,20.952
2019-04-08,20:30-20:45,20.397
2019-04-08,20:45-21:00,19.844
2019-04-08,21:00-21:15,19.191
2019-04-08,21:15-21:30,18.615
2019-04-08,21:30-21:45,18.066
2019-04-08,21:45-22:00,17.414
2019-04-08,22:00-22:15,16.646
2019-04-08,22:15-22:30,16.214
2019-04-08,22:30-22:45,15.767
2019-04-08,22:45-23:00,15.422
2019-04-08,23:00-23:15,15.009
2019-04-08,23:15-23:30,14.679
2019-04-08,23:30-23:45,14.425
2019-04-08,23:45-00:00,14.301
2019-04-09,00:00-00:15,13.948
2019-04-09,00:15-00:30,13.793
2019-04-09,00:30-00:45,13.684
2019-04-09,00:45-01:00,13.57
2019-04-09,01:00-01:15,13.505
2019-04-09,01:15-01:30,13.421
2019-04-09,01:30-01:45,13.407
2019-04-09,01:45-02:00,13.343
2019-04-09,02:00-02:15,13.333
2019-04-09,02:15-02:30,13.263
2019-04-09,02:30-02:45,13.272
2019-04-09,02:45-03:00,13.359
2019-04-09,03:00-03:15,13.416
2019-04-09,03:15-03:30,13.622
2019-04-09,03:30-03:45,13.674
2019-04-09,03:45-04:00,13.927
2019-04-09,04:00-04:15,14.278
2019-04-09,04:15-04:30,14.34
2019-04-09,04:30-04:45,15.103
2019-04-09,04:45-05:00,15.712
2019-04-09,05:00-05:15,16.563
2019-04-09,05:15-05:30,17.221
2019-04-09,05:30-05:45,18.563
2019-04-09,05:45-06:00,20.504
2019-04-09,06:00-06:15,22.54
2019-04-09,06:15-06:30,24.127
2019-04-09,06:30-06:45,26.625
2019-04-09,06:45-07:00,29.685
2019-04-09,07:00-07:15,33.588
2019-04-09,07:15-07:30,37.147
2019-04-09,07:30-07:45,40.976
2019-04-09,07:45-08:00,45.036
2019-04-09,08:00-08:15,49.124
2019-04-09,08:15-08:30,51.341
2019-04-09,08:30-08:45,53.151
2019-04-09,08:45-09:00,54.992
2019-04-09,09:00-09:15,56.424
2019-04-09,09:15-09:30,56.743
2019-04-09,09:30-09:45,57.852
2019-04-09,09:45-10:00,58.801
2019-04-09,10:00-10:15,60.593
2019-04-09,10:15-10:30,60.87
2019-04-09,10:30-10:45,60.435
2019-04-09,10:45-11:00,60.589
2019-04-09,11:00-11:15,60.891
2019-04-09,11:15-11:30,60.944
2019-04-09,11:30-11:45,60.837
2019-04-09,11:45-12:00,60.144
2019-04-09,12:00-12:15,58.204
2019-04-09,12:15-12:30,56.258
2019-04-09,12:30-12:45,55.157
2019-04-09,12:45-13:00,54.134
2019-04-09,13:00-13:15,53.306
2019-04-09,13:15-13:30,52.127
2019-04-09,13:30-13:45,51.4
2019-04-09,13:45-14:00,51.244
2019-04-09,14:00-14:15,51.505
2019-04-09,14:15-14:30,51.215
2019-04-09,14:30-14:45,51.421
2019-04-09,14:45-15:00,50.786
2019-04-09,15:00-15:15,50.072
2019-04-09,15:15-15:30,49.115
2019-04-09,15:30-15:45,47.942
2019-04-09,15:45-16:00,46.69
2019-04-09,16:00-16:15,45.385
2019-04-09,16:15-16:30,44.185
2019-04-09,16:30-16:45,42.81
2019-04-09,16:45-17:00,41.586
2019-04-09,17:00-17:15,39.847
2019-04-09,17:15-17:30,38.601
2019-04-09,17:30-17:45,37.434
2019-04-09,17:45-18:00,35.904
2019-04-09,18:00-18:15,33.026
2019-04-09,18:15-18:30,30.655
2019-04-09,18:30-18:45,28.184
2019-04-09,18:45-19:00,26.513
2019-04-09,19:00-19:15,24.975
2019-04-09,19:15-19:30,23.403
2019-04-09,19:30-19:45,22.736
2019-04-09,19:45-20:00,22.202
2019-04-09,20:00-20:15,21.462
2019-04-09,20:15-20:30,20.952
2019-04-09,20:30-20:45,20.397
2019-04-09,20:45-21:00,19.844
2019-04-09,21:00-21:15,19.191
2019-04-09,21:15-21:30,18.615
2019-04-09,21:30-21:45,18.066
2019-04-09,21:45-22:00,17.414
2019-04-09,22:00-22:15,16.646
2019-04-09,22:15-22:30,16.214
2019-04-09,22:30-22:45,15.767
2019-04-09,22:45-23:00,15.422
2019-04-09,23:00-23:15,15.009
2019-04-09,23:15-23:30,14.679
2019-04-09,23:30-23:45,14.425
2019-04-09,23:45-00:00,14.301
2019-04-10,00:00-00:15,13.948
2019-04-10,00:15-00:30,13.793
2019-04-10,00:30-00:45,13.684
2019-04-10,00:45-01:00,13.57
2019-04-10,01:00-01:15,13.505
2019-04-10,01:15-01:30,13.421
2019-04-10,01:30-01:45,13.407
2019-04-10,01:45-02:00,13.343
2019-04-10,02:00-02:15,13.333
2019-04-10,02:15-02:30,13.263
2019-04-10,02:30-02:45,13.272
2019-04-10,02:45-03:00,13.359
2019-04-10,03:00-03:15,13.416
2019-04-10,03:15-03:30,13.622
2019-04-10,03:30-03:45,13.674
2019-04-10,03:45-04:00,13.927
2019-04-10,04:00-04:15,14.278
2019-04-10,04:15-04:30,14.34
2019-04-10,04:30-04:45,15.103
2019-04-10,04:45-05:00,15.712
2019-04-10,05:00-05:15,16.563
2019-04-10,05:15-05:30,17.221
2019-04-10,05:30-05:45,18.563
2019-04-10,05:45-06:00,20.504
2019-04-10,06:00-06:15,22.54
2019-04-10,06:15-06:30,24.127
2019-04-10,06:30-06:45,26.625
2019-04-10,06:45-07:00,29.685
2019-04-10,07:00-07:15,33.588
2019-04-10,07:15-07:30,37.147
2019-04-10,07:30-07:45,40.976
2019-04-10,07:45-08:00,45.036
2019-04-10,08:00-08:15,49.124
2019-04-10,08:15-08:30,51.341
2019-04-10,08:30-08:45,53.151
2019-04-10,08:45-09:00,54.992
2019-04-10,09:00-09:15,56.424
2019-04-10,09:15-09:30,56.743
2019-04-10,09:30-09:45,57.852
2019-04-10,09:45-10:00,58.801
2019-04-10,10:00-10:15,60.593
2019-04-10,10:15-10:30,60.87
2019-04-10,10:30-10:45,60.435
2019-04-10,10:45-11:00,60.589
2019-04-10,11:00-11:15,60.891
2019-04-10,11:15-11:30,60.944
2019-04-10,11:30-11:45,60.837
2019-04-10,11:45-12:00,60.144
2019-04-10,12:00-12:15,58.204
2019-04-10,12:15-12:30,56.258
2019-04-10,12:30-12:45,55.157
2019-04-10,12:45-13:00,54.134
2019-04-10,13:00-13:15,53.306
2019-04-10,13:15-13:30,52.127
2019-04-10,13:30-13:45,51.4
2019-04-10,13:45-14:00,51.244
2019-04-10,14:00-14:15,51.505
2019-04-10,14:15-14:30,51.215
2019-04-10,14:30-14:45,51.421
2019-04-10,14:45-15:00,50.786
2019-04-10,15:00-15:15,50.072
2019-04-10,15:15-15:30,49.115
2019-04-10,15:30-15:45,47.942
2019-04-10,15:45-16:00,46.69
2019-04-10,16:00-16:15,45.385
2019-04-10,16:15-16:30,44.185
2019-04-10,16:30-16:45,42.81
2019-04-10,16:45-17:00,41.586
2019-04-10,17:00-17:15,39.847
2019-04-10,17:15-17:30,38.601
2019-04-10,17:30-17:45,37.434
2019-04-10,17:45-18:00,35.904
2019-04-10,18:00-18:15,33.026
2019-04-10,18:15-18:30,30.655
2019-04-10,18:30-18:45,28.184
2019-04-10,18:45-19:00,26.513
2019-04-10,19:00-19:15,24.975
2019-04-10,19:15-19:30,23.403
2019-04-10,19:30-19:45,22.736
2019-04-10,19:45-20:00,22.202
2019-04-10,20:00-20:15,21.462
2019-04-10,20:15-20:30,20.952
2019-04-10,20:30-20:45,20.397
2019-04-10,20:45-21:00,19.844
2019-04-10,21:00-21:15,19.191
2019-04-10,21:15-21:30,18.615
2019-04-10,21:30-21:45,18.066
2019-04-10,21:45-22:00,17.414
2019-04-10,22:00-22:15,16.646
2019-04-10,22:15-22:30,16.214
2019-04-10,22:30-22:45,15.767
2019-04-10,22:45-23:00,15.422
2019-04-10,23:00-23:15,15.009
2019-04-10,23:15-23:30,14.679
2019-04-10,23:30-23:45,14.425
2019-04-10,23:45-00:00,14.301
2019-04-11,00:00-00:15,13.948
2019-04-11,00:15-00:30,13.793
2019-04-11,00:30-00:45,13.684
2019-04-11,00:45-01:00,13.57
2019-04-11,01:00-01:15,13.505
2019-04-11,01:15-01:30,13.421
2019-04-11,01:30-01:45,13.407
2019-04-11,01:45-02:00,13.343
2019-04-11,02:00-02:15,13.333
2019-04-11,02:15-02:30,13.263
2019-04-11,02:30-02:45,13.272
2019-04-11,02:45-03:00,13.359
2019-04-11,03:00-03:15,13.416
2019-04-11,03:15-03:30,13.622
2019-04-11,03:30-03:45,13.674
2019-04-11,03:45-04:00,13.927
2019-04-11,04:00-04:15,14.278
2019-04-11,04:15-04:30,14.34
2019-04-11,04:30-04:45,15.103
2019-04-11,04:45-05:00,15.712
2019-04-11,05:00-05:15,16.563
2019-04-11,05:15-05:30,17.221
2019-04-11,05:30-05:45,18.563
2019-04-11,05:45-06:00,20.504
2019-04-11,06:00-06:15,22.54
2019-04-11,06:15-06:30,24.127
2019-04-11,06:30-06:45,26.625
2019-04-11,06:45-07:00,29.685
2019-04-11,07:00-07:15,33.588
2019-04-11,07:15-07:30,37.147
2019-04-11,07:30-07:45,40.976
2019-04-11,07:45-08:00,45.036
2019-04-11,08:00-08:15,49.124
2019-04-11,08:15-08:30,51.341
2019-04-11,08:30-08:45,53.151
2019-04-11,08:45-09:00,54.992
2019-04-11,09:00-09:15,56.424
2019-04-11,09:15-09:30,56.743
2019-04-11,09:30-09:45,57.852
2019-04-11,09:45-10:00,58.801
2019-04-11,10:00-10:15,60.593
2019-04-11,10:15-10:30,60.87
2019-04-11,10:30-10:45,60.435
2019-04-11,10:45-11:00,60.589
2019-04-11,11:00-11:15,60.891
2019-04-11,11:15-11:30,60.944
2019-04-11,11:30-11:45,60.837
2019-04-11,11:45-12:00,60.144
2019-04-11,12:00-12:15,58.204
2019-04-11,12:15-12:30,56.258
2019-04-11,12:30-12:45,55.157
2019-04-11,12:45-13:00,54.134
2019-04-11,13:00-13:15,53.306
2019-04-11,13:15-13:30,52.127
2019-04-11,13:30-13:45,51.4
2019-04-11,13:45-14:00,51.244
2019-04-11,14:00-14:15,51.505
2019-04-11,14:15-14:30,51.215
2019-04-11,14:30-14:45,51.421
2019-04-11,14:45-15:00,50.786
2019-04-11,15:00-15:15,50.072
2019-04-11,15:15-15:30,49.115
2019-04-11,15:30-15:45,47.942
2019-04-11,15:45-16:00,46.69
2019-04-11,16:00-16:15,45.385
2019-04-11,16:15-16:30,44.185
2019-04-11,16:30-16:45,42.81
2019-04-11,16:45-17:00,41.586
2019-04-11,17:00-17:15,39.847
2019-04-11,17:15-17:30,38.601
2019-04-11,17:30-17:45,37.434
2019-04-11,17:45-18:00,35.904
2019-04-11,18:00-18:15,33.026
2019-04-11,18:15-18:30,30.655
2019-04-11,18:30-18:45,28.184
2019-04-11,18:45-19:00,26.513
2019-04-11,19:00-19:15,24.975
2019-04-11,19:15-19:30,23.403
2019-04-11,19:30-19:45,22.736
2019-04-11,19:45-20:00,22.202
2019-04-11,20:00-20:15,21.462
2019-04-11,20:15-20:30,20.952
2019-04-11,20:30-20:45,20.397
2019-04-11,20:45-21:00,19.844
2019-04-11,21:00-21:15,19.191
2019-04-11,21:15-21:30,18.615
2019-04-11,21:30-21:45,18.066
2019-04-11,21:45-22:00,17.414
2019-04-11,22:00-22:15,16.646
2019-04-11,22:15-22:30,16.214
2019-04-11,22:30-22:45,15.767
2019-04-11,22:45-23:00,15.422
2019-04-11,23:00-23:15,15.009
2019-04-11,23:15-23:30,14.679
2019-04-11,23:30-23:45,14.425
2019-04-11,23:45-00:00,14.301
