time,price
2024-04-08 17:00:00,23.36
2024-04-08 17:15:00,24.48
2024-04-08 17:30:00,25.77
2024-04-08 17:45:00,27.22
2024-04-08 18:00:00,28.98
2024-04-08 18:15:00,30.44
2024-04-08 18:30:00,31.28
2024-04-08 18:45:00,33.11
2024-04-08 19:00:00,34.91
2024-04-08 19:15:00,36.91
2024-04-08 19:30:00,38.42
2024-04-08 19:45:00,39.71
2024-04-08 20:00:00,39.76
2024-04-08 20:15:00,39.55
2024-04-08 20:30:00,39.24
2024-04-08 20:45:00,38.97
2024-04-08 21:00:00,34.93
2024-04-08 21:15:00,34.77
2024-04-08 21:30:00,35.65
2024-04-08 21:45:00,35.09
2024-04-08 22:00:00,35.28
2024-04-08 22:15:00,34.8
2024-04-08 22:30:00,33.83
2024-04-08 22:45:00,33.18
2024-04-08 23:00:00,33.32
2024-04-08 23:15:00,32.55
2024-04-08 23:30:00,32.01
2024-04-08 23:45:00,31.01
2024-04-09 00:00:00,24.25
2024-04-09 00:15:00,23.45
2024-04-09 00:30:00,22.03
2024-04-09 00:45:00,20.57
2024-04-09 01:00:00,20.71
2024-04-09 01:15:00,20.73
2024-04-09 01:30:00,19.06
2024-04-09 01:45:00,17.24
2024-04-09 02:00:00,22.87
2024-04-09 02:15:00,22.52
2024-04-09 02:30:00,21.18
2024-04-09 02:45:00,18.27
2024-04-09 03:00:00,16.95
2024-04-09 03:15:00,15.34
2024-04-09 03:30:00,14.3
2024-04-09 03:45:00,13.32
2024-04-09 04:00:00,12.88
2024-04-09 04:15:00,12.24
2024-04-09 04:30:00,11.86
2024-04-09 04:45:00,11.89
2024-04-09 05:00:00,13.04
2024-04-09 05:15:00,13.04
2024-04-09 05:30:00,13.35
2024-04-09 05:45:00,13.89
2024-04-09 06:00:00,16.54
2024-04-09 06:15:00,18.11
2024-04-09 06:30:00,20.25
2024-04-09 06:45:00,21.84
2024-04-09 07:00:00,29.61
2024-04-09 07:15:00,31.6
2024-04-09 07:30:00,33.58
2024-04-09 07:45:00,35.38
2024-04-09 08:00:00,36.16
2024-04-09 08:15:00,38.2
2024-04-09 08:30:00,39.46
2024-04-09 08:45:00,40.45
2024-04-09 09:00:00,40.87
2024-04-09 09:15:00,41.19
2024-04-09 09:30:00,41.44
2024-04-09 09:45:00,40.2
2024-04-09 10:00:00,40.17
2024-04-09 10:15:00,39.94
2024-04-09 10:30:00,40.95
2024-04-09 10:45:00,41.55
2024-04-09 11:00:00,40.09
2024-04-09 11:15:00,40.64
2024-04-09 11:30:00,40.84
2024-04-09 11:45:00,41.08
2024-04-09 12:00:00,38.16
2024-04-09 12:15:00,37.83
2024-04-09 12:30:00,37.13
2024-04-09 12:45:00,37.24
2024-04-09 13:00:00,35.66
2024-04-09 13:15:00,36.32
2024-04-09 13:30:00,35.28
2024-04-09 13:45:00,35.03
2024-04-09 14:00:00,34.51
2024-04-09 14:15:00,34.56
2024-04-09 14:30:00,33.63
2024-04-09 14:45:00,33.82
2024-04-09 15:00:00,32.67
2024-04-09 15:15:00,32.45
2024-04-09 15:30:00,32.26
2024-04-09 15:45:00,32.15
2024-04-09 16:00:00,31.82
2024-04-09 16:15:00,32.1
2024-04-09 16:30:00,31.42
2024-04-09 16:45:00,31.41
2024-04-09 17:00:00,32.1
2024-04-09 17:15:00,32.19
2024-04-09 17:30:00,32.56
2024-04-09 17:45:00,33.09
2024-04-09 18:00:00,33.77
2024-04-09 18:15:00,33.6
2024-04-09 18:30:00,34.75
2024-04-09 18:45:00,34.97
2024-04-09 19:00:00,37.09
2024-04-09 19:15:00,39.38
